responseid,q27,q52,q53,q31,q35,q58,student_level,aware_alternative_pathway,current_or_planned_grad_enrollment,reduced_grad_degree_interest
R_3fVRxsnTNVXSp8D,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_53xqS5nQKlWLjP1,Graduate,,,No,Somewhat likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_3R1DTey9xSv9izD,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_3rCJfx9KvGTJe8o,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_6EeUtxh8X1L4VGh,Graduate,,,No,Neither likely nor unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_1cpazEl8SVGhmnI,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_31zifsL87jg3b2a,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_1P1NtBRJQLOcTnI,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1l3pgIqYqAwy2sW,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_5dJExdAQr1rC6ul,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_3SJ1tKpP8pxJv7u,Graduate,,,No,Neither likely nor unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_6oMWUgiATqOr1nP,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_6kLHvup8BrHUjxW,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_5BxtGSPBKDySUxz,Graduate,,,No,Extremely unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),1
R_5uqApvXN2LuCwn7,Undergraduate,Increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1V3YDwc9bVhRQEz,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_7IvhOAG4tV1sF8d,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_12Kejlc8nzpv3Gs,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1KYOE4qyopFhTMq,Graduate,,,No,Neither likely nor unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_1IZLr1zkpflPKMx,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_5rxwqiNMpqjNF17,,,,,,,,,Missing,
R_1l0ROTQkpYl1dqD,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_6JpSQ51iy9mP2GR,Undergraduate,Significantly decreased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,1
R_51a3EpkaKglLPd2,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_3wt3h7yjehZs1ur,Graduate,,,No,Somewhat likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_5s4izd7jEMnl9xD,Graduate,,,No,Extremely likely,MBA,Graduate,No,Currently enrolled (graduate respondent),0
R_742afhmGUyQHKG2,Undergraduate,Increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_6mEi6M1jPgxxifX,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_6FkttbRIlUHydQk,Undergraduate,Decreased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,1
R_3Eblm65QJoF6H74,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_522r6id1kNmZDCE,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_5aLftL4StjvNpK9,Graduate,,,No,Extremely unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),1
R_56e7AIQDfQYez85,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_3qdRUw4YOGeCYrD,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_6nMYSy6nJHw1oR3,Graduate,,,No,Somewhat unlikely,MBA,Graduate,No,Currently enrolled (graduate respondent),1
R_64eLJhvlNC728Bw,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1eM2mzyZDUNsfSg,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1Vk4azxH1eJZDRT,Graduate,,,No,Neither likely nor unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_3pyfwGHlb5A5O4e,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_3ltaQX03s9gUFpj,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1bPrPronejjQULR,Graduate,,,No,Somewhat likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_5JR62tInBxveyoL,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_7PSXZWuN9X7ec01,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_1VegjJuTM8qjdxm,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_7BQOngqlAeKLGgo,Graduate,,,No,Somewhat unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),1
R_1vjkGUl7Wh98YaI,Graduate,,,No,Somewhat unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),1
R_1xgQ5xF2WzOHMsx,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_7R9HGsExjpIB3Rd,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_5BbvNVFWZEl89A7,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
